log_id,job_name,run_timestamp,status,message
1,enrichment,2025-05-27T10:15:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-27T10:15:06.111680.
2,data_cleanup,2025-05-21T23:35:06.111680,FAILURE,Error in data_cleanup: timeout encountered.
3,anomaly_detection,2025-05-05T21:10:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-05T21:10:06.111680.
4,churn_calc,2025-05-11T01:16:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-11T01:16:06.111680.
5,reporting,2025-05-14T17:43:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-14T17:43:06.111680.
6,aggregate_sales,2025-05-01T05:00:06.111680,FAILURE,Error in aggregate_sales: timeout encountered.
7,data_cleanup,2025-05-24T19:36:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-24T19:36:06.111680.
8,anomaly_detection,2025-05-02T11:37:06.111680,FAILURE,Error in anomaly_detection: permission denied encountered.
9,aggregate_sales,2025-05-24T06:16:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-24T06:16:06.111680.
10,data_cleanup,2025-05-07T20:07:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-07T20:07:06.111680.
11,churn_calc,2025-05-09T04:14:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-09T04:14:06.111680.
12,data_cleanup,2025-05-15T04:12:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-15T04:12:06.111680.
13,backup,2025-05-24T01:39:06.111680,FAILURE,Error in backup: FileNotFoundError encountered.
14,enrichment,2025-05-01T17:34:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-01T17:34:06.111680.
15,aggregate_sales,2025-05-12T15:56:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-12T15:56:06.111680.
16,reporting,2025-05-23T09:43:06.111680,FAILURE,Error in reporting: API response code 500 encountered.
17,daily_load,2025-05-28T01:53:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-28T01:53:06.111680.
18,anomaly_detection,2025-05-10T21:17:06.111680,FAILURE,Error in anomaly_detection: AuthFailure encountered.
19,backup,2025-05-05T14:20:06.111680,SUCCESS,Job backup completed successfully at 2025-05-05T14:20:06.111680.
20,backup,2025-05-12T11:13:06.111680,SUCCESS,Job backup completed successfully at 2025-05-12T11:13:06.111680.
21,churn_calc,2025-05-16T23:34:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-16T23:34:06.111680.
22,churn_calc,2025-05-11T14:41:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-11T14:41:06.111680.
23,aggregate_sales,2025-05-29T04:13:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-29T04:13:06.111680.
24,churn_calc,2025-05-04T21:45:06.111680,FAILURE,Error in churn_calc: permission denied encountered.
25,anomaly_detection,2025-05-19T15:49:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-19T15:49:06.111680.
26,reporting,2025-05-11T02:58:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-11T02:58:06.111680.
27,backup,2025-05-24T06:52:06.111680,SUCCESS,Job backup completed successfully at 2025-05-24T06:52:06.111680.
28,aggregate_sales,2025-05-20T22:25:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-20T22:25:06.111680.
29,reporting,2025-05-16T09:10:06.111680,FAILURE,Error in reporting: SyntaxError encountered.
30,reporting,2025-04-30T07:51:06.111680,FAILURE,Error in reporting: API response code 500 encountered.
31,data_cleanup,2025-05-03T12:25:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-03T12:25:06.111680.
32,daily_load,2025-04-30T11:31:06.111680,SUCCESS,Job daily_load completed successfully at 2025-04-30T11:31:06.111680.
33,churn_calc,2025-05-01T07:09:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-01T07:09:06.111680.
34,backup,2025-05-01T23:40:06.111680,SUCCESS,Job backup completed successfully at 2025-05-01T23:40:06.111680.
35,data_cleanup,2025-05-10T23:16:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-10T23:16:06.111680.
36,aggregate_sales,2025-05-23T00:20:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-23T00:20:06.111680.
37,enrichment,2025-05-06T17:55:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-06T17:55:06.111680.
38,aggregate_sales,2025-05-16T12:14:06.111680,FAILURE,Error in aggregate_sales: parse error encountered.
39,daily_load,2025-05-02T07:02:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-02T07:02:06.111680.
40,daily_load,2025-05-14T07:16:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-14T07:16:06.111680.
41,data_cleanup,2025-05-01T23:41:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-01T23:41:06.111680.
42,churn_calc,2025-04-29T18:19:06.111680,FAILURE,Error in churn_calc: timeout encountered.
43,aggregate_sales,2025-05-01T11:50:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-01T11:50:06.111680.
44,enrichment,2025-05-17T16:41:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-17T16:41:06.111680.
45,daily_load,2025-05-08T22:42:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-08T22:42:06.111680.
46,daily_load,2025-05-11T05:04:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-11T05:04:06.111680.
47,enrichment,2025-05-22T01:24:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-22T01:24:06.111680.
48,anomaly_detection,2025-04-30T08:23:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-04-30T08:23:06.111680.
49,aggregate_sales,2025-05-20T12:16:06.111680,FAILURE,Error in aggregate_sales: NullPointerException encountered.
50,reporting,2025-05-28T18:30:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-28T18:30:06.111680.
51,aggregate_sales,2025-05-11T01:12:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-11T01:12:06.111680.
52,backup,2025-05-15T16:39:06.111680,SUCCESS,Job backup completed successfully at 2025-05-15T16:39:06.111680.
53,churn_calc,2025-05-09T20:50:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-09T20:50:06.111680.
54,anomaly_detection,2025-05-22T14:03:06.111680,FAILURE,Error in anomaly_detection: deadlock detected encountered.
